building_id,cat_name,character_type,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,scale_x,scale_y,scale_z
building_basic_01,mc-blacksmith,move_emo_pos_1,9.03,10.28,-5,0,0,0,1,1,1
building_basic_01,mc-clam-raker,box_collider,28.49,0.78,-5,0,0,0,1,1,1
building_basic_01,mc-clam-raker,idle,31.23,0.26,-5,21.94138,198.0947,5.450232,0.9,0.9,0.9
building_basic_01,mc-clam-raker,move,29.84,0.559,-5,33.30284,165.5482,351.9458,0.9,0.9,0.9
building_basic_01,mc-clam-raker,move_pos_1,32.552,0.809,-5,0,0,0,1,1,1
building_basic_01,mc-clam-raker,move_pos_2,33.86,-0.74,-5,0,0,0,1,1,1
building_basic_01,mc-clam-raker,move_emo_pos_1,31.93,1.12,-5,0,0,0,1,1,1
building_basic_01,mc-clam-raker,move_emo_pos_2,33.07,0.42,-5,0,0,0,1,1,1
building_basic_02,mc-fisher-man,box_collider,19.31,-10.71,-7.97,0,0,0,1,1,1
building_basic_02,mc-fisher-man,idle,19.31,-12.04,-7.97,12.79968,207.4336,7.277215,0.9,0.9,0.9
building_basic_02,mc-fisher-man,move,14.01,-10.65,-7.97,8.832225,219.1374,10.87456,0.9,0.9,0.9
building_basic_02,mc-fisher-man,move_pos_1,18.6,-11.2,-7.97,0,0,0,1,1,1
building_basic_02,mc-fisher-man,move_pos_2,22.34,-12.65,-7.97,0,0,0,1,1,1
building_basic_02,mc-fisher-man,move_emo_pos_1,16.87,-9.51,-8.01,0,0,0,1,1,1
building_basic_02,mc-fisher-man,move_emo_pos_2,19.54,-11.34,-8.01,0,0,0,1,1,1
building_basic_03,mc-baker,box_collider,13.59,30.31,-10,0,0,0,1,1,1
building_basic_03,mc-baker,idle,13.49,29.33,-6.04,15,216.7,15,0.36,0.36,0.36
building_basic_03,mc-baker,move,19.31,30.42,-3.278,23.36986,142.2946,337.4431,0.36,0.36,0.36
building_basic_03,mc-baker,move_pos_1,12.35,28.6,-5,0,0,0,1,1,1
building_basic_03,mc-baker,move_pos_2,11.09,29.2,-5,0,0,0,1,1,1
building_basic_03,mc-baker,move_emo_pos_1,16.96,30.28,-5,0,0,0,1,1,1
building_basic_03,mc-baker,move_emo_pos_2,13.57,29.21,-5,0,0,0,1,1,1
building_basic_04,mc-sushi-chef,box_collider,21.81,-3,-4,0,0,0,1,1,1
building_basic_04,mc-sushi-chef,idle,24.7,-6.01,-4,21.83016,209.569,11.27096,0.4,0.4,0.4
building_basic_04,mc-sushi-chef,move,23.325,-5.393,-3.54,332.3126,291.794,39.57747,0.4,0.4,0.4
building_basic_04,mc-sushi-chef,move_pos_1,16.04,-4.07,-4,0,0,0,1,1,1
building_basic_04,mc-sushi-chef,move_pos_2,20.75,-6.17,-4,0,0,0,1,1,1
building_basic_04,mc-sushi-chef,move_pos_3,18.43,-5.04,-4,0,0,0,1,1,1
building_basic_04,mc-sushi-chef,move_emo_pos_1,18.43,-5.04,-4,0,0,0,1,1,1
building_basic_05,mc-luna,box_collider,10.218,-1.056,-5,0,0,0,1,1,1
building_basic_05,mc-luna,idle,8.618,-0.146,-5,13.2,205.5,6.490001,0.9,0.9,0.9
building_basic_05,mc-luna,move,12.571,-1.137,-5.04,3.88111,219.3378,15.18929,0.9,0.9,0.9
building_basic_05,mc-luna,initialize,33.848,-18.206,-8,13.2,205.5,6.490001,0.9,0.9,0.9
building_basic_05,mc-luna,move_pos_1,11.288,-2.846,-5.04,0,0,0,1,1,1
building_basic_05,mc-luna,move_emo_pos_1,11.008,-0.496,-5.04,0,0,0,1,1,1
building_basic_05,mc-luna,move_emo_pos_2,10.238,-1.036,-5.04,0,0,0,1,1,1
building_basic_05,mc-luna,move_emo_pos_3,11.288,-2.846,-5.04,0,0,0,1,1,1
building_basic_07,mc-blacksmith,box_collider,10.71,9.77,-4,0,0,0,1,1,1
building_basic_07,mc-blacksmith,idle,8.52,10.31,-3.75,19.23791,207.8537,7.389602,0.36,0.36,0.36
building_basic_07,mc-blacksmith,move,12.257,9.905001,-5.549,24.09104,148.6905,345.0294,0.36,0.36,0.36
building_basic_07,mc-blacksmith,move_pos_1,7.31,10.87,-5,0,0,0,1,1,1
building_basic_07,mc-blacksmith,move_pos_2,8.22,8.820001,-7.4,0,0,0,1,1,1
building_basic_07,mc-blacksmith,move_emo_pos_1,9.03,10.28,-5,0,0,0,1,1,1
